id_empresa,ciudad,latitud,longitud,sector,tamanio,estado,anio_fundacion,antiguedat_anios,num_empleados,ingresos_anual_usd,inv_rd_pct,crecimiento_anual_pct,satisfaccion_empleados
1,Santa Marta,11.2469,-74.0515,Turismo,Grande,En crecimiento,1977,47,594,1174732.18,5.0,19.1,9.2
2,Montevideo,-34.9033,-56.188,Retail,Pequeña,Activa,1992,32,24,43501.98,1.4,15.0,6.7
3,Caracas,10.4806,-66.9036,Tecnología,Grande,Inactiva,2007,17,429,1958302.23,24.4,-20.4,3.1
4,Quito,-0.1807,-78.4678,Telecomunicaciones,Pequeña,En crecimiento,1975,49,15,76465.56,12.1,16.8,8.4
5,Pereira,4.8133,-75.6958,Finanzas,Pequeña,Inactiva,1991,33,10,29294.86,0.1,-30.4,6.5
6,Santa Marta,11.2469,-74.0515,Energía,Mediana,Activa,1994,30,104,359941.76,10.3,4.7,7.5
7,Rio de Janeiro,-22.9068,-43.1729,Agro,Pequeña,Estable,1987,37,17,106487.86,7.8,-2.0,6.6
8,Quito,-0.1807,-78.4678,Energía,Mediana,En riesgo,1986,38,55,283110.26,7.2,-5.8,3.0
9,Quito,-0.1807,-78.4678,Turismo,Mediana,Inactiva,1981,43,68,174838.54,0.1,-22.4,5.0
10,Barranquilla,11.0719,-74.7819,Finanzas,Mediana,En crecimiento,1975,49,75,170841.55,2.5,25.3,7.6
11,Pereira,4.8133,-75.6958,Agro,Pequeña,Estable,1995,29,12,46138.8,0.8,3.2,8.9
12,Cali,3.4516,-76.6319,Salud,Mediana,En crecimiento,1996,28,46,503561.64,13.6,23.4,9.1
13,Medellín,6.2518,-75.5636,Telecomunicaciones,Mediana,Activa,1977,47,105,293948.49,14.7,-1.5,6.6
14,Lima,-12.0464,-77.0428,Energía,Mediana,Estable,1988,36,72,329771.0,14.6,6.8,5.2
15,Bucaramanga,7.088,-73.0836,Salud,Mediana,Estable,2011,13,80,182292.33,7.7,-1.4,7.2
16,Medellín,6.2518,-75.5636,Energía,Pequeña,Inactiva,1970,54,11,81743.13,8.9,-25.2,2.5
17,Bogotá,-4.711,-74.0721,Turismo,Mediana,En crecimiento,1998,26,96,169178.3,3.9,19.2,7.8
18,Lima,-12.0464,-77.0428,Energía,Pequeña,Activa,2014,10,16,38852.59,10.6,8.9,8.5
19,Lima,-12.0464,-77.0428,Energía,Mediana,Activa,2018,6,129,411060.29,15.7,11.4,5.2
20,Guayaquil,-2.19,-79.897,Tecnología,Grande,En crecimiento,2004,20,484,541046.18,12.0,15.9,8.1
21,Popayán,2.4419,-76.6109,Turismo,Mediana,En crecimiento,2009,15,73,327262.65,0.1,23.5,8.7
22,Panamá,8.9936,-79.5193,Telecomunicaciones,Mediana,En riesgo,1983,41,59,178438.8,18.2,-14.7,5.5
23,Caracas,10.4806,-66.9036,Educación,Multinacional,En crecimiento,2004,20,3534,8066472.24,10.3,29.9,6.2
24,Caracas,10.4806,-66.9036,Turismo,Grande,Inactiva,2017,7,357,1257892.0,1.3,-31.7,3.7
25,Rio de Janeiro,-22.9068,-43.1729,Educación,Multinacional,Inactiva,2014,10,2334,22928001.91,8.5,-31.0,4.6
26,Lima,-12.0464,-77.0428,Finanzas,Grande,Estable,1989,35,373,1232327.32,5.7,-0.2,7.3
27,Montevideo,-34.9033,-56.188,Turismo,Pequeña,Inactiva,2018,6,12,125630.96,1.2,-30.6,3.1
28,Cali,3.4516,-76.6319,Turismo,Pequeña,En riesgo,1982,42,14,67054.06,3.4,-13.3,5.9
29,Cartagena,10.423,-75.5434,Salud,Mediana,En crecimiento,2007,17,172,200949.37,16.1,18.8,7.0
30,Rio de Janeiro,-22.9068,-43.1729,Manufactura,Pequeña,Activa,2018,6,9,58993.57,12.0,8.5,5.4
31,Santa Marta,11.2469,-74.0515,Tecnología,Mediana,En crecimiento,2015,9,57,257643.69,20.9,28.0,7.6
32,Manizales,5.0689,-75.5175,Tecnología,Pequeña,Estable,2018,6,26,56435.69,23.2,2.4,7.5
33,Santa Marta,11.2469,-74.0515,Tecnología,Mediana,En riesgo,1977,47,68,209943.19,14.0,-11.0,5.7
34,São Paulo,-23.5505,-46.6333,Tecnología,Grande,En crecimiento,2012,12,334,3492276.88,17.0,15.7,8.4
35,Barranquilla,11.0719,-74.7819,Finanzas,Grande,En riesgo,1989,35,605,2382532.87,5.7,-12.8,5.5
36,Buenos Aires,-34.6037,-58.3816,Manufactura,Mediana,Estable,2002,22,45,304805.31,0.2,-0.5,8.2
37,São Paulo,-23.5505,-46.6333,Agro,Grande,Activa,1995,29,555,3560932.65,7.5,12.1,6.8
38,Manizales,5.0689,-75.5175,Tecnología,Mediana,Inactiva,2008,16,81,311351.37,19.9,-29.6,3.0
39,Medellín,6.2518,-75.5636,Retail,Grande,En crecimiento,1990,34,481,2596793.96,0.9,16.8,9.3
40,Montevideo,-34.9033,-56.188,Energía,Pequeña,En crecimiento,2022,2,17,50966.74,9.4,23.9,6.3
41,Caracas,10.4806,-66.9036,Finanzas,Multinacional,Estable,2018,6,1944,9741404.82,8.8,13.9,7.4
42,Santa Marta,11.2469,-74.0515,Telecomunicaciones,Mediana,Activa,2011,13,121,288029.55,9.6,6.9,6.3
43,Lima,-12.0464,-77.0428,Telecomunicaciones,Pequeña,Estable,2012,12,12,52440.21,15.9,3.0,8.2
44,Pereira,4.8133,-75.6958,Salud,Pequeña,En crecimiento,2023,1,17,54450.33,14.2,27.7,7.8
45,Caracas,10.4806,-66.9036,Finanzas,Mediana,En crecimiento,2010,14,131,214630.2,7.3,25.1,7.8
46,Cali,3.4516,-76.6319,Retail,Pequeña,Inactiva,1978,46,26,40914.67,2.3,-21.9,5.3
47,Buenos Aires,-34.6037,-58.3816,Energía,Pequeña,En crecimiento,1993,31,13,44864.44,16.7,21.4,6.5
48,Guayaquil,-2.19,-79.897,Tecnología,Mediana,Activa,2006,18,96,336513.4,15.3,7.5,7.5
49,Barranquilla,11.0719,-74.7819,Agro,Mediana,En crecimiento,2018,6,69,295448.03,2.3,17.5,7.6
50,São Paulo,-23.5505,-46.6333,Agro,Mediana,Inactiva,2010,14,217,539314.42,0.1,-22.1,3.8
51,Pereira,4.8133,-75.6958,Energía,Multinacional,Activa,1986,38,3415,12219104.89,6.7,10.8,9.5
52,Barranquilla,11.0719,-74.7819,Agro,Mediana,Activa,1993,31,82,271950.13,6.1,12.3,6.5
53,Medellín,6.2518,-75.5636,Agro,Mediana,Activa,1990,34,90,598648.39,8.8,5.1,5.8
54,Bucaramanga,7.088,-73.0836,Salud,Pequeña,Activa,2020,4,17,127553.17,17.5,13.0,6.2
55,Popayán,2.4419,-76.6109,Salud,Grande,En riesgo,2008,16,476,539858.59,15.0,-5.2,4.2
56,Barranquilla,11.0719,-74.7819,Manufactura,Pequeña,Estable,2010,14,13,79691.91,3.3,-5.3,7.0
57,São Paulo,-23.5505,-46.6333,Retail,Multinacional,En crecimiento,2008,16,2135,5657315.25,4.7,20.2,7.9
58,Lima,-12.0464,-77.0428,Educación,Grande,Estable,1982,42,376,2238574.14,5.2,9.1,9.1
59,Medellín,6.2518,-75.5636,Turismo,Mediana,En crecimiento,1980,44,50,557187.3,0.1,18.1,9.7
60,Popayán,2.4419,-76.6109,Manufactura,Pequeña,Inactiva,2015,9,19,32250.28,5.1,-21.8,4.8
61,Barranquilla,11.0719,-74.7819,Finanzas,Grande,Inactiva,1988,36,290,594105.46,0.1,-24.9,6.2
62,Buenos Aires,-34.6037,-58.3816,Energía,Grande,En crecimiento,1980,44,261,2277736.42,5.9,24.0,8.8
63,Panamá,8.9936,-79.5193,Retail,Pequeña,En riesgo,1982,42,14,53502.28,7.7,-11.8,5.8
64,Caracas,10.4806,-66.9036,Manufactura,Pequeña,En riesgo,2015,9,14,21710.67,1.3,-7.5,5.5
65,Pereira,4.8133,-75.6958,Turismo,Grande,En crecimiento,2014,10,442,5313481.98,0.1,15.9,8.6
66,Buenos Aires,-34.6037,-58.3816,Finanzas,Pequeña,Activa,1970,54,11,68322.06,5.2,2.5,7.7
67,Pereira,4.8133,-75.6958,Turismo,Multinacional,En crecimiento,2009,15,2136,11184082.5,3.4,30.8,7.3
68,Panamá,8.9936,-79.5193,Educación,Mediana,En riesgo,2013,11,105,593888.36,7.3,0.6,3.0
69,Santiago,-33.4489,-70.6693,Finanzas,Pequeña,Inactiva,1988,36,19,37397.77,0.1,-25.0,3.0
70,São Paulo,-23.5505,-46.6333,Turismo,Grande,En riesgo,1981,43,506,1601102.04,5.5,-1.7,5.2
71,Caracas,10.4806,-66.9036,Tecnología,Pequeña,En riesgo,1977,47,15,25851.33,16.7,-16.6,4.6
72,Santiago,-33.4489,-70.6693,Salud,Mediana,Estable,1977,47,85,221363.97,18.7,-1.2,5.6
73,Manizales,5.0689,-75.5175,Turismo,Pequeña,En riesgo,2022,2,16,60633.83,1.1,-3.3,4.3
74,Caracas,10.4806,-66.9036,Finanzas,Pequeña,En riesgo,2014,10,11,21744.93,7.9,-7.2,4.2
75,Santiago,-33.4489,-70.6693,Educación,Mediana,En crecimiento,1981,43,144,218249.24,11.9,31.6,7.7
76,Bogotá,-4.711,-74.0721,Energía,Mediana,Estable,2017,7,136,188635.29,8.6,4.8,7.5
77,Santa Marta,11.2469,-74.0515,Manufactura,Mediana,En riesgo,2002,22,109,322089.22,8.6,-18.1,5.3
78,Manizales,5.0689,-75.5175,Salud,Grande,Activa,2014,10,337,1999337.23,11.0,9.3,6.6
79,Bogotá,-4.711,-74.0721,Retail,Mediana,En riesgo,1995,29,99,434788.14,2.8,-4.8,5.7
80,Lima,-12.0464,-77.0428,Finanzas,Pequeña,Activa,2008,16,22,82387.3,8.7,7.2,8.6
81,Pereira,4.8133,-75.6958,Energía,Pequeña,En crecimiento,1997,27,9,99293.63,11.6,20.3,8.2
82,Quito,-0.1807,-78.4678,Turismo,Multinacional,En riesgo,1974,50,4923,10838062.77,10.2,-9.1,5.3
83,Rio de Janeiro,-22.9068,-43.1729,Telecomunicaciones,Grande,Activa,1977,47,199,3854082.81,13.7,4.6,8.4
84,Guayaquil,-2.19,-79.897,Energía,Mediana,Activa,1994,30,106,318471.74,8.9,9.8,5.9
85,Pereira,4.8133,-75.6958,Energía,Pequeña,En crecimiento,1996,28,26,45849.41,18.5,22.4,9.1
86,Cali,3.4516,-76.6319,Energía,Pequeña,En riesgo,2015,9,14,67739.99,14.9,-14.9,3.6
87,Cali,3.4516,-76.6319,Tecnología,Grande,Activa,1992,32,376,1346164.61,13.2,13.9,6.4
88,Bogotá,-4.711,-74.0721,Salud,Grande,Inactiva,1999,25,522,3787656.43,12.6,-21.1,3.4
89,Cartagena,10.423,-75.5434,Energía,Mediana,Activa,2014,10,167,528093.95,6.9,5.9,4.6
90,Popayán,2.4419,-76.6109,Finanzas,Grande,Inactiva,2016,8,357,2182790.67,6.9,-25.1,3.4
91,Santa Marta,11.2469,-74.0515,Energía,Grande,Inactiva,1992,32,292,1601874.94,11.7,-26.6,4.4
92,Manizales,5.0689,-75.5175,Tecnología,Pequeña,En crecimiento,2018,6,12,40783.78,19.7,18.2,5.8
93,Santa Marta,11.2469,-74.0515,Turismo,Mediana,En crecimiento,2016,8,42,426002.4,0.1,11.8,9.1
94,Manizales,5.0689,-75.5175,Finanzas,Pequeña,En crecimiento,1989,35,21,28459.28,3.1,19.1,7.0
95,Pereira,4.8133,-75.6958,Finanzas,Pequeña,Estable,1987,37,12,107684.4,4.6,-1.7,7.1
96,Lima,-12.0464,-77.0428,Manufactura,Grande,Activa,1987,37,368,1372517.65,0.5,8.7,6.5
97,Medellín,6.2518,-75.5636,Turismo,Mediana,Activa,1971,53,115,349441.39,0.4,10.6,7.9
98,Bogotá,-4.711,-74.0721,Turismo,Mediana,Activa,1973,51,68,190372.36,7.1,3.2,8.4
99,Panamá,8.9936,-79.5193,Finanzas,Pequeña,En crecimiento,1999,25,20,71773.56,0.3,24.2,8.6
100,Cartagena,10.423,-75.5434,Finanzas,Pequeña,Activa,2002,22,9,39851.19,9.4,2.3,7.2
101,Cali,3.4516,-76.6319,Energía,Pequeña,Estable,2005,19,22,69174.85,13.3,1.2,6.3
102,Lima,-12.0464,-77.0428,Tecnología,Pequeña,Inactiva,1987,37,17,73019.0,17.1,-28.6,3.1
103,Pereira,4.8133,-75.6958,Turismo,Mediana,En crecimiento,2006,18,77,217014.99,1.1,26.5,8.6
104,Cali,3.4516,-76.6319,Turismo,Pequeña,Estable,1988,36,15,28510.1,5.5,2.7,7.7
105,Bogotá,-4.711,-74.0721,Energía,Mediana,En crecimiento,2016,8,47,645311.04,7.6,21.3,8.5
106,Cali,3.4516,-76.6319,Turismo,Pequeña,En riesgo,1997,27,15,45416.41,0.8,-15.8,3.0
107,Cartagena,10.423,-75.5434,Agro,Pequeña,Inactiva,2009,15,14,55949.38,3.9,-27.0,3.2
108,Caracas,10.4806,-66.9036,Telecomunicaciones,Pequeña,En riesgo,1989,35,9,63736.36,5.6,-1.0,3.7
109,Buenos Aires,-34.6037,-58.3816,Educación,Mediana,Inactiva,2018,6,61,160281.62,3.7,-28.0,4.0
110,Cali,3.4516,-76.6319,Salud,Mediana,Activa,2002,22,75,378083.68,14.1,10.9,6.3
111,Bogotá,-4.711,-74.0721,Finanzas,Mediana,En riesgo,1981,43,62,315243.62,6.4,-12.7,5.0
112,Cartagena,10.423,-75.5434,Educación,Mediana,En riesgo,2020,4,30,217460.48,5.6,-9.3,4.2
113,Buenos Aires,-34.6037,-58.3816,Manufactura,Grande,Activa,1984,40,615,841303.43,5.4,13.0,4.9
114,Santa Marta,11.2469,-74.0515,Retail,Pequeña,Inactiva,2010,14,14,67691.85,0.1,-27.1,4.3
115,Manizales,5.0689,-75.5175,Tecnología,Pequeña,Activa,2008,16,6,87871.81,20.8,12.3,7.2
116,Caracas,10.4806,-66.9036,Tecnología,Grande,Estable,1971,53,939,1640105.17,18.7,18.5,8.4
117,Caracas,10.4806,-66.9036,Salud,Mediana,Activa,1998,26,131,146430.34,15.9,11.4,5.2
118,Popayán,2.4419,-76.6109,Energía,Pequeña,En crecimiento,2010,14,13,29469.52,11.5,31.7,7.5
119,Santiago,-33.4489,-70.6693,Turismo,Multinacional,Estable,1979,45,1784,6445483.72,3.2,4.9,6.6
120,Rio de Janeiro,-22.9068,-43.1729,Tecnología,Grande,Estable,1971,53,470,3279775.51,16.5,-3.6,7.2
121,Santa Marta,11.2469,-74.0515,Retail,Pequeña,En crecimiento,2020,4,16,44196.59,5.4,23.7,6.2
122,Guayaquil,-2.19,-79.897,Agro,Mediana,En crecimiento,1980,44,99,237341.02,4.5,20.0,8.5
123,Montevideo,-34.9033,-56.188,Tecnología,Mediana,En riesgo,1982,42,57,129935.75,17.5,-15.6,6.8
124,Barranquilla,11.0719,-74.7819,Manufactura,Mediana,Activa,1979,45,124,216034.92,6.0,7.6,7.8
125,Cartagena,10.423,-75.5434,Energía,Pequeña,En crecimiento,1983,41,12,26992.39,9.9,21.1,7.9
126,Santa Marta,11.2469,-74.0515,Finanzas,Pequeña,Inactiva,1987,37,19,30278.35,4.5,-31.4,1.5
127,Santiago,-33.4489,-70.6693,Tecnología,Mediana,En riesgo,2020,4,58,318543.11,19.3,4.3,3.6
128,Caracas,10.4806,-66.9036,Tecnología,Mediana,En crecimiento,2023,1,230,245476.29,15.2,26.8,7.7
129,Quito,-0.1807,-78.4678,Tecnología,Grande,En riesgo,1978,46,528,3508583.29,15.4,-10.5,3.9
130,Barranquilla,11.0719,-74.7819,Agro,Mediana,En riesgo,2008,16,253,514288.38,5.7,-11.5,5.7
131,Santiago,-33.4489,-70.6693,Retail,Pequeña,En riesgo,1997,27,20,36876.74,1.6,-4.8,5.1
132,Santa Marta,11.2469,-74.0515,Tecnología,Mediana,En crecimiento,1972,52,63,189686.66,20.9,34.5,10.0
133,Rio de Janeiro,-22.9068,-43.1729,Salud,Pequeña,Activa,1989,35,20,99817.55,16.2,12.1,6.0
134,Medellín,6.2518,-75.5636,Salud,Mediana,Activa,1975,49,114,688010.24,13.3,8.7,7.2
135,Popayán,2.4419,-76.6109,Salud,Mediana,Activa,1996,28,92,100148.93,16.7,16.8,5.5
136,Santiago,-33.4489,-70.6693,Agro,Pequeña,Estable,2022,2,19,52376.18,7.6,2.9,4.2
137,Bucaramanga,7.088,-73.0836,Educación,Mediana,Activa,1971,53,108,264500.55,9.3,10.6,8.1
138,Lima,-12.0464,-77.0428,Educación,Pequeña,Estable,1998,26,10,69171.1,10.0,8.0,7.5
139,Lima,-12.0464,-77.0428,Salud,Pequeña,En crecimiento,2007,17,9,132073.3,14.5,19.7,6.8
140,Montevideo,-34.9033,-56.188,Manufactura,Pequeña,Activa,1972,52,10,39251.69,9.0,-4.5,7.3
141,Quito,-0.1807,-78.4678,Finanzas,Pequeña,En riesgo,1985,39,15,17844.11,3.3,-14.6,3.7
142,Santa Marta,11.2469,-74.0515,Energía,Multinacional,En crecimiento,1999,25,2286,10686116.67,11.0,26.6,7.2
