ingreso_mensual_usd,antiguedad_laboral_anios,deuda_actual_usd,edad,puntaje_credito,num_tarjetas_credito,historial_pagos,tipo_empleo,tiene_casa_propia,tiene_vehiculo,prestamo_aprobado
3496.69,11,2673.79,28,814,4,Bueno,Formal,1,1,1
7645.14,6,10288.67,30,692,5,Regular,Formal,1,1,1
6070.36,10,14866.9,21,615,0,Malo,Formal,0,1,1
5110.34,0,11208.29,39,375,1,Excelente,Temporal,1,0,1
1923.33,5,11099.8,24,569,4,Bueno,Temporal,0,0,0
1923.16,14,14254.69,60,524,7,Excelente,Independiente,1,1,0
1218.2,14,3044.05,41,829,4,Excelente,Formal,0,1,1
7036.47,18,8483.25,21,412,0,Malo,Formal,1,0,1
5128.03,10,14694.7,45,550,2,Regular,Temporal,1,1,1
5898.12,22,2479.41,32,532,5,Regular,Temporal,0,1,1
948.21,1,10503.78,18,382,7,Excelente,Formal,0,0,0
7783.35,13,8787.15,20,424,1,Regular,Independiente,0,0,1
6793.59,1,8797.19,31,474,7,Bueno,Formal,1,1,1
2328.84,3,10465.06,55,368,4,Bueno,Formal,0,0,1
2109.14,16,13944.25,67,346,2,Bueno,Independiente,0,1,0
2120.51,2,11738.73,18,555,6,Excelente,Formal,1,0,1
2990.54,12,842.04,55,329,5,Regular,Temporal,0,1,0
4578.25,8,12790.92,55,580,6,Bueno,Formal,1,1,1
3910.0,6,3383.12,38,536,5,Excelente,Formal,0,0,1
2896.85,14,5653.71,65,547,1,Excelente,Temporal,0,1,1
5205.34,22,6925.99,46,667,3,Excelente,Temporal,1,0,1
1804.36,10,7213.59,22,794,5,Excelente,Formal,0,1,1
2903.44,19,6527.71,66,324,3,Bueno,Formal,0,1,1
3437.81,1,14060.3,27,789,6,Regular,Independiente,1,1,1
4083.7,14,10590.29,45,793,5,Excelente,Formal,0,1,1
6453.27,13,9467.56,38,613,1,Excelente,Temporal,1,0,1
2237.65,19,747.63,67,674,0,Bueno,Temporal,1,1,1
4502.49,21,13558.7,24,324,1,Regular,Formal,0,0,1
5065.38,10,13640.85,20,633,1,Bueno,Formal,0,0,1
1134.44,2,11703.2,62,654,0,Bueno,Formal,1,0,0
5174.32,16,105.44,64,415,0,Bueno,Temporal,0,1,1
2027.77,11,859.2,37,347,2,Bueno,Formal,0,0,0
1268.37,23,3378.36,36,398,5,Excelente,Formal,1,1,1
