fecha,anio,mes,mes_nombre,trimestre,region,precio_usd,ventas_unidades,ingresos_usd,evento
2018-01-01,2018,1,January,1,Colombia,5.57,6952,38722.64,
2018-01-01,2018,1,January,1,Brasil,5.57,3005,16737.85,
2018-01-01,2018,1,January,1,Perú,5.57,2318,12911.26,
2018-01-01,2018,1,January,1,Ecuador,5.57,266,1481.62,
2018-01-01,2018,1,January,1,Chile,5.57,16,89.12,
2018-02-01,2018,2,February,1,Colombia,5.5,5970,32835.0,
2018-02-01,2018,2,February,1,Brasil,5.5,4583,25206.5,
2018-02-01,2018,2,February,1,Perú,5.5,486,2673.0,
2018-02-01,2018,2,February,1,Ecuador,5.5,26,143.0,
2018-02-01,2018,2,February,1,Chile,5.5,1029,5659.5,
2018-03-01,2018,3,March,1,Colombia,5.63,1551,8732.13,
2018-03-01,2018,3,March,1,Brasil,5.63,2059,11592.17,
2018-03-01,2018,3,March,1,Perú,5.63,5468,30784.84,
2018-03-01,2018,3,March,1,Ecuador,5.63,632,3558.16,
2018-03-01,2018,3,March,1,Chile,5.63,2553,14373.39,
2018-04-01,2018,4,April,2,Colombia,5.78,5930,34275.4,
2018-04-01,2018,4,April,2,Brasil,5.78,2165,12513.7,
2018-04-01,2018,4,April,2,Perú,5.78,2677,15473.06,
2018-04-01,2018,4,April,2,Ecuador,5.78,1206,6970.68,
2018-04-01,2018,4,April,2,Chile,5.78,56,323.68,
2018-05-01,2018,5,May,2,Colombia,5.71,3637,20767.27,Elecciones Colombia 2018
2018-05-01,2018,5,May,2,Brasil,5.71,3217,18369.07,
2018-05-01,2018,5,May,2,Perú,5.71,796,4545.16,
2018-05-01,2018,5,May,2,Ecuador,5.71,745,4253.95,
2018-05-01,2018,5,May,2,Chile,5.71,2513,14349.23,
2018-06-01,2018,6,June,2,Colombia,5.72,3235,18504.2,
2018-06-01,2018,6,June,2,Brasil,5.72,4663,26672.36,
2018-06-01,2018,6,June,2,Perú,5.72,131,749.32,
2018-06-01,2018,6,June,2,Ecuador,5.72,193,1103.96,
2018-06-01,2018,6,June,2,Chile,5.72,3269,18698.68,
2018-07-01,2018,7,July,3,Colombia,6.02,6170,37143.4,
2018-07-01,2018,7,July,3,Brasil,6.02,1299,7819.98,
2018-07-01,2018,7,July,3,Perú,6.02,969,5833.38,
2018-07-01,2018,7,July,3,Ecuador,6.02,1686,10149.72,
2018-07-01,2018,7,July,3,Chile,6.02,1745,10504.9,
2018-08-01,2018,8,August,3,Colombia,5.74,3471,19923.54,
2018-08-01,2018,8,August,3,Brasil,5.74,1514,8690.36,
2018-08-01,2018,8,August,3,Perú,5.74,5134,29469.16,
2018-08-01,2018,8,August,3,Ecuador,5.74,2501,14355.74,
2018-08-01,2018,8,August,3,Chile,5.74,284,1630.16,
2018-09-01,2018,9,September,3,Colombia,5.58,5319,29680.02,
2018-09-01,2018,9,September,3,Brasil,5.58,3286,18335.88,
2018-09-01,2018,9,September,3,Perú,5.58,560,3124.8,
2018-09-01,2018,9,September,3,Ecuador,5.58,854,4765.32,
2018-09-01,2018,9,September,3,Chile,5.58,2031,11332.98,
2018-10-01,2018,10,October,4,Colombia,5.75,5256,30222.0,
2018-10-01,2018,10,October,4,Brasil,5.75,5120,29440.0,
2018-10-01,2018,10,October,4,Perú,5.75,802,4611.5,
2018-10-01,2018,10,October,4,Ecuador,5.75,1132,6509.0,
2018-10-01,2018,10,October,4,Chile,5.75,46,264.5,
2018-11-01,2018,11,November,4,Colombia,5.61,6774,38002.14,
2018-11-01,2018,11,November,4,Brasil,5.61,1640,9200.4,
2018-11-01,2018,11,November,4,Perú,5.61,625,3506.25,
2018-11-01,2018,11,November,4,Ecuador,5.61,3040,17054.4,
2018-11-01,2018,11,November,4,Chile,5.61,653,3663.33,
2018-12-01,2018,12,December,4,Colombia,5.63,3920,22069.6,
2018-12-01,2018,12,December,4,Brasil,5.63,2716,15291.08,
2018-12-01,2018,12,December,4,Perú,5.63,3959,22289.17,
2018-12-01,2018,12,December,4,Ecuador,5.63,2264,12746.32,
2018-12-01,2018,12,December,4,Chile,5.63,397,2235.11,
2019-01-01,2019,1,January,1,Colombia,5.47,4931,26972.57,Expansión a Brasil 2019
2019-01-01,2019,1,January,1,Brasil,5.47,4712,25774.64,
2019-01-01,2019,1,January,1,Perú,5.47,2012,11005.64,
2019-01-01,2019,1,January,1,Ecuador,5.47,3466,18959.02,
2019-01-01,2019,1,January,1,Chile,5.47,975,5333.25,
2019-02-01,2019,2,February,1,Colombia,5.16,7730,39886.8,
2019-02-01,2019,2,February,1,Brasil,5.16,2185,11274.6,
2019-02-01,2019,2,February,1,Perú,5.16,2326,12002.16,
2019-02-01,2019,2,February,1,Ecuador,5.16,3017,15567.72,
2019-02-01,2019,2,February,1,Chile,5.16,162,835.92,
2019-03-01,2019,3,March,1,Colombia,5.21,6070,31624.7,
2019-03-01,2019,3,March,1,Brasil,5.21,6924,36074.04,
2019-03-01,2019,3,March,1,Perú,5.21,1763,9185.23,
2019-03-01,2019,3,March,1,Ecuador,5.21,208,1083.68,
2019-03-01,2019,3,March,1,Chile,5.21,72,375.12,
2019-04-01,2019,4,April,2,Colombia,5.4,1781,9617.4,
2019-04-01,2019,4,April,2,Brasil,5.4,4492,24256.8,
2019-04-01,2019,4,April,2,Perú,5.4,3543,19132.2,
2019-04-01,2019,4,April,2,Ecuador,5.4,5066,27356.4,
2019-04-01,2019,4,April,2,Chile,5.4,17,91.8,
2019-05-01,2019,5,May,2,Colombia,5.35,6471,34619.85,
2019-05-01,2019,5,May,2,Brasil,5.35,1396,7468.6,
2019-05-01,2019,5,May,2,Perú,5.35,2263,12107.05,
2019-05-01,2019,5,May,2,Ecuador,5.35,1750,9362.5,
2019-05-01,2019,5,May,2,Chile,5.35,2779,14867.65,
2019-06-01,2019,6,June,2,Colombia,5.57,9619,53577.83,
2019-06-01,2019,6,June,2,Brasil,5.57,3456,19249.92,
2019-06-01,2019,6,June,2,Perú,5.57,1117,6221.69,
2019-06-01,2019,6,June,2,Ecuador,5.57,149,829.93,
2019-06-01,2019,6,June,2,Chile,5.57,970,5402.9,
2019-07-01,2019,7,July,3,Colombia,5.69,4147,23596.43,
2019-07-01,2019,7,July,3,Brasil,5.69,2201,12523.69,
2019-07-01,2019,7,July,3,Perú,5.69,4388,24967.72,
2019-07-01,2019,7,July,3,Ecuador,5.69,896,5098.24,
2019-07-01,2019,7,July,3,Chile,5.69,1675,9530.75,
2019-08-01,2019,8,August,3,Colombia,5.64,5061,28544.04,
2019-08-01,2019,8,August,3,Brasil,5.64,4130,23293.2,
2019-08-01,2019,8,August,3,Perú,5.64,1909,10766.76,
2019-08-01,2019,8,August,3,Ecuador,5.64,38,214.32,
2019-08-01,2019,8,August,3,Chile,5.64,1776,10016.64,
2019-09-01,2019,9,September,3,Colombia,6.09,6898,42008.82,
2019-09-01,2019,9,September,3,Brasil,6.09,1465,8921.85,
2019-09-01,2019,9,September,3,Perú,6.09,3152,19195.68,
2019-09-01,2019,9,September,3,Ecuador,6.09,819,4987.71,
2019-09-01,2019,9,September,3,Chile,6.09,417,2539.53,
2019-10-01,2019,10,October,4,Colombia,5.85,5809,33982.65,
2019-10-01,2019,10,October,4,Brasil,5.85,4588,26839.8,
2019-10-01,2019,10,October,4,Perú,5.85,214,1251.9,
2019-10-01,2019,10,October,4,Ecuador,5.85,207,1210.95,
2019-10-01,2019,10,October,4,Chile,5.85,2297,13437.45,
2019-11-01,2019,11,November,4,Colombia,5.91,8879,52474.89,
2019-11-01,2019,11,November,4,Brasil,5.91,2984,17635.44,
2019-11-01,2019,11,November,4,Perú,5.91,1374,8120.34,
2019-11-01,2019,11,November,4,Ecuador,5.91,583,3445.53,
2019-11-01,2019,11,November,4,Chile,5.91,135,797.85,
2019-12-01,2019,12,December,4,Colombia,5.71,4628,26425.88,
2019-12-01,2019,12,December,4,Brasil,5.71,3865,22069.15,
2019-12-01,2019,12,December,4,Perú,5.71,52,296.92,
2019-12-01,2019,12,December,4,Ecuador,5.71,2470,14103.7,
2019-12-01,2019,12,December,4,Chile,5.71,3272,18683.12,
2020-01-01,2020,1,January,1,Colombia,5.86,7561,44307.46,
2020-01-01,2020,1,January,1,Brasil,5.86,4283,25098.38,
2020-01-01,2020,1,January,1,Perú,5.86,718,4207.48,
2020-01-01,2020,1,January,1,Ecuador,5.86,525,3076.5,
2020-01-01,2020,1,January,1,Chile,5.86,870,5098.2,
2020-02-01,2020,2,February,1,Colombia,5.97,3563,21271.11,
2020-02-01,2020,2,February,1,Brasil,5.97,7353,43897.41,
2020-02-01,2020,2,February,1,Perú,5.97,784,4680.48,
2020-02-01,2020,2,February,1,Ecuador,5.97,480,2865.6,
2020-02-01,2020,2,February,1,Chile,5.97,1122,6698.34,
2020-03-01,2020,3,March,1,Colombia,5.8,6077,35246.6,
2020-03-01,2020,3,March,1,Brasil,5.8,3027,17556.6,
2020-03-01,2020,3,March,1,Perú,5.8,1775,10295.0,
2020-03-01,2020,3,March,1,Ecuador,5.8,521,3021.8,
2020-03-01,2020,3,March,1,Chile,5.8,1095,6351.0,
2020-04-01,2020,4,April,2,Colombia,6.77,3590,24304.3,COVID-19 2020
2020-04-01,2020,4,April,2,Brasil,6.77,1322,8949.94,
2020-04-01,2020,4,April,2,Perú,6.77,1376,9315.52,
2020-04-01,2020,4,April,2,Ecuador,6.77,612,4143.24,
2020-04-01,2020,4,April,2,Chile,6.77,250,1692.5,
2020-05-01,2020,5,May,2,Colombia,6.64,4211,27961.04,
2020-05-01,2020,5,May,2,Brasil,6.64,2141,14216.24,
2020-05-01,2020,5,May,2,Perú,6.64,453,3007.92,
2020-05-01,2020,5,May,2,Ecuador,6.64,367,2436.88,
2020-05-01,2020,5,May,2,Chile,6.64,56,371.84,
2020-06-01,2020,6,June,2,Colombia,6.71,2165,14527.15,
2020-06-01,2020,6,June,2,Brasil,6.71,1375,9226.25,
2020-06-01,2020,6,June,2,Perú,6.71,1953,13104.63,
2020-06-01,2020,6,June,2,Ecuador,6.71,1209,8112.39,
2020-06-01,2020,6,June,2,Chile,6.71,1410,9461.1,
2020-07-01,2020,7,July,3,Colombia,6.69,2601,17400.69,
2020-07-01,2020,7,July,3,Brasil,6.69,2256,15092.64,
2020-07-01,2020,7,July,3,Perú,6.69,1042,6970.98,
2020-07-01,2020,7,July,3,Ecuador,6.69,1526,10208.94,
2020-07-01,2020,7,July,3,Chile,6.69,189,1264.41,
2020-08-01,2020,8,August,3,Colombia,7.07,3281,23196.67,
2020-08-01,2020,8,August,3,Brasil,7.07,2138,15115.66,
2020-08-01,2020,8,August,3,Perú,7.07,1187,8392.09,
2020-08-01,2020,8,August,3,Ecuador,7.07,247,1746.29,
